metric,territory,gender,age,count
Participation rate (%),Northern Territory,Female,Total Females(a),60.7
Total participants,Australian Capital Territory,Female,Total Females(a),123738
Eligible participants,Australian Capital Territory,Female,Total Females(a),146228
Participation rate (%),Australian Capital Territory,Female,Total Females(a),84.6
Total participants,Australia,Female,Total Females(a),6644192
Eligible participants,Australia,Female,Total Females(a),8145566
Participation rate (%),Australia,Female,Total Females(a),81.6
Total participants,New South Wales,Male,18-19 years,52118
Eligible participants,New South Wales,Male,18-19 years,69996
Participation rate (%),New South Wales,Male,18-19 years,74.5
Total participants,Victoria,Male,18-19 years,38720
Eligible participants,Victoria,Male,18-19 years,48852
Participation rate (%),Victoria,Male,18-19 years,79.3
Total participants,Queensland,Male,18-19 years,27779
Eligible participants,Queensland,Male,18-19 years,38827
Participation rate (%),Queensland,Male,18-19 years,71.5
Total participants,South Australia,Male,18-19 years,10047
Eligible participants,South Australia,Male,18-19 years,13325
Participation rate (%),South Australia,Male,18-19 years,75.4
Total participants,Western Australia,Male,18-19 years,15360
Eligible participants,Western Australia,Male,18-19 years,20479
Participation rate (%),Western Australia,Male,18-19 years,75
Total participants,Tasmania,Male,18-19 years,3298
Eligible participants,Tasmania,Male,18-19 years,4474
Participation rate (%),Tasmania,Male,18-19 years,73.7
Total participants,Northern Territory,Male,18-19 years,734
Eligible participants,Northern Territory,Male,18-19 years,1322
Participation rate (%),Northern Territory,Male,18-19 years,55.5
Total participants,Australian Capital Territory,Male,18-19 years,3241
Eligible participants,Australian Capital Territory,Male,18-19 years,4164
Participation rate (%),Australian Capital Territory,Male,18-19 years,77.8
Total participants,Australia,Male,18-19 years,151297
Eligible participants,Australia,Male,18-19 years,201439
Participation rate (%),Australia,Male,18-19 years,75.1
Total participants,New South Wales,Male,20-24 years,143088
Eligible participants,New South Wales,Male,20-24 years,204979
Participation rate (%),New South Wales,Male,20-24 years,69.8
Total participants,Victoria,Male,20-24 years,118897
Eligible participants,Victoria,Male,20-24 years,161658
Participation rate (%),Victoria,Male,20-24 years,73.5
Total participants,Queensland,Male,20-24 years,81749
Eligible participants,Queensland,Male,20-24 years,128155
Participation rate (%),Queensland,Male,20-24 years,63.8
Total participants,South Australia,Male,20-24 years,30633
Eligible participants,South Australia,Male,20-24 years,45028
Participation rate (%),South Australia,Male,20-24 years,68
Total participants,Western Australia,Male,20-24 years,42648
Eligible participants,Western Australia,Male,20-24 years,63459
Participation rate (%),Western Australia,Male,20-24 years,67.2
Total participants,Tasmania,Male,20-24 years,9156
Eligible participants,Tasmania,Male,20-24 years,13904
Participation rate (%),Tasmania,Male,20-24 years,65.9
Total participants,Northern Territory,Male,20-24 years,2519
Eligible participants,Northern Territory,Male,20-24 years,5901
Participation rate (%),Northern Territory,Male,20-24 years,42.7
Total participants,Australian Capital Territory,Male,20-24 years,9476
Eligible participants,Australian Capital Territory,Male,20-24 years,12825
Participation rate (%),Australian Capital Territory,Male,20-24 years,73.9
Total participants,Australia,Male,20-24 years,438166
Eligible participants,Australia,Male,20-24 years,635909
Participation rate (%),Australia,Male,20-24 years,68.9
Total participants,New South Wales,Male,25-29 years,141349
Eligible participants,New South Wales,Male,25-29 years,204397
Participation rate (%),New South Wales,Male,25-29 years,69.2
Total participants,Victoria,Male,25-29 years,121875
Eligible participants,Victoria,Male,25-29 years,167708
Participation rate (%),Victoria,Male,25-29 years,72.7
Total participants,Queensland,Male,25-29 years,81828
Eligible participants,Queensland,Male,25-29 years,127931
Participation rate (%),Queensland,Male,25-29 years,64
Total participants,South Australia,Male,25-29 years,30413
Eligible participants,South Australia,Male,25-29 years,45450
Participation rate (%),South Australia,Male,25-29 years,66.9
Total participants,Western Australia,Male,25-29 years,44170
Eligible participants,Western Australia,Male,25-29 years,66992
Participation rate (%),Western Australia,Male,25-29 years,65.9
Total participants,Tasmania,Male,25-29 years,8497
Eligible participants,Tasmania,Male,25-29 years,13086
Participation rate (%),Tasmania,Male,25-29 years,64.9
Total participants,Northern Territory,Male,25-29 years,3531
Eligible participants,Northern Territory,Male,25-29 years,7783
Participation rate (%),Northern Territory,Male,25-29 years,45.4
Total participants,Australian Capital Territory,Male,25-29 years,9995
Eligible participants,Australian Capital Territory,Male,25-29 years,13569
Participation rate (%),Australian Capital Territory,Male,25-29 years,73.7
Total participants,Australia,Male,25-29 years,441658
Eligible participants,Australia,Male,25-29 years,646916
Participation rate (%),Australia,Male,25-29 years,68.3
Total participants,New South Wales,Male,30-34 years,146259
Eligible participants,New South Wales,Male,30-34 years,210612
Participation rate (%),New South Wales,Male,30-34 years,69.4
Total participants,Victoria,Male,30-34 years,126194
Eligible participants,Victoria,Male,30-34 years,173516
Participation rate (%),Victoria,Male,30-34 years,72.7
Total participants,Queensland,Male,30-34 years,85305
Eligible participants,Queensland,Male,30-34 years,128125
Participation rate (%),Queensland,Male,30-34 years,66.6
Total participants,South Australia,Male,30-34 years,30942
Eligible participants,South Australia,Male,30-34 years,45702
Participation rate (%),South Australia,Male,30-34 years,67.7
Total participants,Western Australia,Male,30-34 years,48280
Eligible participants,Western Australia,Male,30-34 years,71876
Participation rate (%),Western Australia,Male,30-34 years,67.2
Total participants,Tasmania,Male,30-34 years,8799
Eligible participants,Tasmania,Male,30-34 years,12937
Participation rate (%),Tasmania,Male,30-34 years,68
Total participants,Northern Territory,Male,30-34 years,4010
Eligible participants,Northern Territory,Male,30-34 years,8151
Participation rate (%),Northern Territory,Male,30-34 years,49.2
Total participants,Australian Capital Territory,Male,30-34 years,10759
Eligible participants,Australian Capital Territory,Male,30-34 years,14331
Participation rate (%),Australian Capital Territory,Male,30-34 years,75.1
Total participants,Australia,Male,30-34 years,460548
Eligible participants,Australia,Male,30-34 years,665250
Participation rate (%),Australia,Male,30-34 years,69.2
Total participants,New South Wales,Male,35-39 years,149283
Eligible participants,New South Wales,Male,35-39 years,212888
Participation rate (%),New South Wales,Male,35-39 years,70.1
Total participants,Victoria,Male,35-39 years,125877
Eligible participants,Victoria,Male,35-39 years,169904
Participation rate (%),Victoria,Male,35-39 years,74.1
Total participants,Queensland,Male,35-39 years,86260
Eligible participants,Queensland,Male,35-39 years,126601
Participation rate (%),Queensland,Male,35-39 years,68.1
Total participants,South Australia,Male,35-39 years,30324
Eligible participants,South Australia,Male,35-39 years,44072
Participation rate (%),South Australia,Male,35-39 years,68.8
Total participants,Western Australia,Male,35-39 years,47395
Eligible participants,Western Australia,Male,35-39 years,69035
Participation rate (%),Western Australia,Male,35-39 years,68.7
Total participants,Tasmania,Male,35-39 years,8713
Eligible participants,Tasmania,Male,35-39 years,12762
Participation rate (%),Tasmania,Male,35-39 years,68.3
Total participants,Northern Territory,Male,35-39 years,3703
Eligible participants,Northern Territory,Male,35-39 years,7241
Participation rate (%),Northern Territory,Male,35-39 years,51.1
Total participants,Australian Capital Territory,Male,35-39 years,10651
Eligible participants,Australian Capital Territory,Male,35-39 years,13943
Participation rate (%),Australian Capital Territory,Male,35-39 years,76.4
Total participants,Australia,Male,35-39 years,462206
Eligible participants,Australia,Male,35-39 years,656446
Participation rate (%),Australia,Male,35-39 years,70.4
Total participants,New South Wales,Male,40-44 years,155857
Eligible participants,New South Wales,Male,40-44 years,214989
Participation rate (%),New South Wales,Male,40-44 years,72.5
Total participants,Victoria,Male,40-44 years,128107
Eligible participants,Victoria,Male,40-44 years,168441
Participation rate (%),Victoria,Male,40-44 years,76.1
Total participants,Queensland,Male,40-44 years,92586
Eligible participants,Queensland,Male,40-44 years,131310
Participation rate (%),Queensland,Male,40-44 years,70.5
Total participants,South Australia,Male,40-44 years,32205
Eligible participants,South Australia,Male,40-44 years,45442
Participation rate (%),South Australia,Male,40-44 years,70.9
Total participants,Western Australia,Male,40-44 years,47490
Eligible participants,Western Australia,Male,40-44 years,67198
Participation rate (%),Western Australia,Male,40-44 years,70.7
Total participants,Tasmania,Male,40-44 years,9626
Eligible participants,Tasmania,Male,40-44 years,13597
Participation rate (%),Tasmania,Male,40-44 years,70.8
Total participants,Northern Territory,Male,40-44 years,3573
Eligible participants,Northern Territory,Male,40-44 years,6904
Participation rate (%),Northern Territory,Male,40-44 years,51.8
Total participants,Australian Capital Territory,Male,40-44 years,9916
Eligible participants,Australian Capital Territory,Male,40-44 years,12960
Participation rate (%),Australian Capital Territory,Male,40-44 years,76.5
Total participants,Australia,Male,40-44 years,479360
Eligible participants,Australia,Male,40-44 years,660841
Participation rate (%),Australia,Male,40-44 years,72.5
Total participants,New South Wales,Male,45-49 years,167357
Eligible participants,New South Wales,Male,45-49 years,221908
Participation rate (%),New South Wales,Male,45-49 years,75.4
Total participants,Victoria,Male,45-49 years,138049
Eligible participants,Victoria,Male,45-49 years,175707
Participation rate (%),Victoria,Male,45-49 years,78.6
Total participants,Queensland,Male,45-49 years,102259
Eligible participants,Queensland,Male,45-49 years,137604
Participation rate (%),Queensland,Male,45-49 years,74.3
Total participants,South Australia,Male,45-49 years,37520
Eligible participants,South Australia,Male,45-49 years,50700
Participation rate (%),South Australia,Male,45-49 years,74
Total participants,Western Australia,Male,45-49 years,53540
Eligible participants,Western Australia,Male,45-49 years,72390
Participation rate (%),Western Australia,Male,45-49 years,74
Total participants,Tasmania,Male,45-49 years,11696
Eligible participants,Tasmania,Male,45-49 years,15687
Participation rate (%),Tasmania,Male,45-49 years,74.6
Total participants,Northern Territory,Male,45-49 years,3934
Eligible participants,Northern Territory,Male,45-49 years,7072
Participation rate (%),Northern Territory,Male,45-49 years,55.6
Total participants,Australian Capital Territory,Male,45-49 years,10265
Eligible participants,Australian Capital Territory,Male,45-49 years,12782
Participation rate (%),Australian Capital Territory,Male,45-49 years,80.3
Total participants,Australia,Male,45-49 years,524620
Eligible participants,Australia,Male,45-49 years,693850
Participation rate (%),Australia,Male,45-49 years,75.6
Total participants,New South Wales,Male,50-54 years,167745
Eligible participants,New South Wales,Male,50-54 years,213740
Participation rate (%),New South Wales,Male,50-54 years,78.5
Total participants,Victoria,Male,50-54 years,133085
Eligible participants,Victoria,Male,50-54 years,164846
Participation rate (%),Victoria,Male,50-54 years,80.7
Total participants,Queensland,Male,50-54 years,100669
Eligible participants,Queensland,Male,50-54 years,129746
Participation rate (%),Queensland,Male,50-54 years,77.6
Total participants,South Australia,Male,50-54 years,38582
Eligible participants,South Australia,Male,50-54 years,49829
Participation rate (%),South Australia,Male,50-54 years,77.4
Total participants,Western Australia,Male,50-54 years,52655
Eligible participants,Western Australia,Male,50-54 years,67912
Participation rate (%),Western Australia,Male,50-54 years,77.5
Total participants,Tasmania,Male,50-54 years,12085
Eligible participants,Tasmania,Male,50-54 years,15572
Participation rate (%),Tasmania,Male,50-54 years,77.6
Total participants,Northern Territory,Male,50-54 years,3838
Eligible participants,Northern Territory,Male,50-54 years,6397
Participation rate (%),Northern Territory,Male,50-54 years,60
Total participants,Australian Capital Territory,Male,50-54 years,9034
Eligible participants,Australian Capital Territory,Male,50-54 years,11108
Participation rate (%),Australian Capital Territory,Male,50-54 years,81.3
Total participants,Australia,Male,50-54 years,517693
Eligible participants,Australia,Male,50-54 years,659150
Participation rate (%),Australia,Male,50-54 years,78.5
Total participants,New South Wales,Male,55-59 years,177169
Eligible participants,New South Wales,Male,55-59 years,217769
Participation rate (%),New South Wales,Male,55-59 years,81.4
Total participants,Victoria,Male,55-59 years,137064
Eligible participants,Victoria,Male,55-59 years,164299
Participation rate (%),Victoria,Male,55-59 years,83.4
Total participants,Queensland,Male,55-59 years,106070
Eligible participants,Queensland,Male,55-59 years,130511
Participation rate (%),Queensland,Male,55-59 years,81.3
Total participants,South Australia,Male,55-59 years,41991
Eligible participants,South Australia,Male,55-59 years,51409
Participation rate (%),South Australia,Male,55-59 years,81.7
Total participants,Western Australia,Male,55-59 years,53893
Eligible participants,Western Australia,Male,55-59 years,66630
Participation rate (%),Western Australia,Male,55-59 years,80.9
Total participants,Tasmania,Male,55-59 years,14258
Eligible participants,Tasmania,Male,55-59 years,17475
Participation rate (%),Tasmania,Male,55-59 years,81.6
Total participants,Northern Territory,Male,55-59 years,3887
Eligible participants,Northern Territory,Male,55-59 years,5891
Participation rate (%),Northern Territory,Male,55-59 years,66
Total participants,Australian Capital Territory,Male,55-59 years,9117
Eligible participants,Australian Capital Territory,Male,55-59 years,10736
Participation rate (%),Australian Capital Territory,Male,55-59 years,84.9
Total participants,Australia,Male,55-59 years,543449
Eligible participants,Australia,Male,55-59 years,664720
Participation rate (%),Australia,Male,55-59 years,81.8
Total participants,New South Wales,Male,60-64 years,165382
Eligible participants,New South Wales,Male,60-64 years,195444
Participation rate (%),New South Wales,Male,60-64 years,84.6
Total participants,Victoria,Male,60-64 years,126281
Eligible participants,Victoria,Male,60-64 years,147252
Participation rate (%),Victoria,Male,60-64 years,85.8
Total participants,Queensland,Male,60-64 years,99593
Eligible participants,Queensland,Male,60-64 years,117700
Participation rate (%),Queensland,Male,60-64 years,84.6
Total participants,South Australia,Male,60-64 years,40204
Eligible participants,South Australia,Male,60-64 years,46950
Participation rate (%),South Australia,Male,60-64 years,85.6
Total participants,Western Australia,Male,60-64 years,50101
Eligible participants,Western Australia,Male,60-64 years,59826
Participation rate (%),Western Australia,Male,60-64 years,83.7
Total participants,Tasmania,Male,60-64 years,14033
Eligible participants,Tasmania,Male,60-64 years,16401
Participation rate (%),Tasmania,Male,60-64 years,85.6
Total participants,Northern Territory,Male,60-64 years,3346
Eligible participants,Northern Territory,Male,60-64 years,4811
Participation rate (%),Northern Territory,Male,60-64 years,69.5
Total participants,Australian Capital Territory,Male,60-64 years,7859
Eligible participants,Australian Capital Territory,Male,60-64 years,9002
Participation rate (%),Australian Capital Territory,Male,60-64 years,87.3
Total participants,Australia,Male,60-64 years,506799
Eligible participants,Australia,Male,60-64 years,597386
Participation rate (%),Australia,Male,60-64 years,84.8
Total participants,New South Wales,Male,65-69 years,155743
Eligible participants,New South Wales,Male,65-69 years,177828
Participation rate (%),New South Wales,Male,65-69 years,87.6
Total participants,Victoria,Male,65-69 years,116846
Eligible participants,Victoria,Male,65-69 years,132643
Participation rate (%),Victoria,Male,65-69 years,88.1
Total participants,Queensland,Male,65-69 years,96494
Eligible participants,Queensland,Male,65-69 years,110428
Participation rate (%),Queensland,Male,65-69 years,87.4
Total participants,South Australia,Male,65-69 years,38937
Eligible participants,South Australia,Male,65-69 years,43934
Participation rate (%),South Australia,Male,65-69 years,88.6
Total participants,Western Australia,Male,65-69 years,47358
Eligible participants,Western Australia,Male,65-69 years,54504
Participation rate (%),Western Australia,Male,65-69 years,86.9
Total participants,Tasmania,Male,65-69 years,13743
Eligible participants,Tasmania,Male,65-69 years,15605
Participation rate (%),Tasmania,Male,65-69 years,88.1
Total participants,Northern Territory,Male,65-69 years,2602
Eligible participants,Northern Territory,Male,65-69 years,3615
Participation rate (%),Northern Territory,Male,65-69 years,72
Total participants,Australian Capital Territory,Male,65-69 years,7268
Eligible participants,Australian Capital Territory,Male,65-69 years,8125
Participation rate (%),Australian Capital Territory,Male,65-69 years,89.5
Total participants,Australia,Male,65-69 years,478991
Eligible participants,Australia,Male,65-69 years,546682
Participation rate (%),Australia,Male,65-69 years,87.6
Total participants,New South Wales,Male,70-74 years,130540
Eligible participants,New South Wales,Male,70-74 years,145915
Participation rate (%),New South Wales,Male,70-74 years,89.5
Total participants,Victoria,Male,70-74 years,96183
Eligible participants,Victoria,Male,70-74 years,107856
Participation rate (%),Victoria,Male,70-74 years,89.2
Total participants,Queensland,Male,70-74 years,80032
Eligible participants,Queensland,Male,70-74 years,89604
Participation rate (%),Queensland,Male,70-74 years,89.3
Total participants,South Australia,Male,70-74 years,32590
Eligible participants,South Australia,Male,70-74 years,36154
Participation rate (%),South Australia,Male,70-74 years,90.1
Total participants,Western Australia,Male,70-74 years,37484
Eligible participants,Western Australia,Male,70-74 years,42161
Participation rate (%),Western Australia,Male,70-74 years,88.9
Total participants,Tasmania,Male,70-74 years,11392
Eligible participants,Tasmania,Male,70-74 years,12679
Participation rate (%),Tasmania,Male,70-74 years,89.8
Total participants,Northern Territory,Male,70-74 years,1649
Eligible participants,Northern Territory,Male,70-74 years,2280
Participation rate (%),Northern Territory,Male,70-74 years,72.3
Total participants,Australian Capital Territory,Male,70-74 years,5676
Eligible participants,Australian Capital Territory,Male,70-74 years,6251
Participation rate (%),Australian Capital Territory,Male,70-74 years,90.8
Total participants,Australia,Male,70-74 years,395546
Eligible participants,Australia,Male,70-74 years,442900
Participation rate (%),Australia,Male,70-74 years,89.3
Total participants,New South Wales,Male,75-79 years,89406
Eligible participants,New South Wales,Male,75-79 years,99697
Participation rate (%),New South Wales,Male,75-79 years,89.7
Total participants,Victoria,Male,75-79 years,67240
Eligible participants,Victoria,Male,75-79 years,75569
Participation rate (%),Victoria,Male,75-79 years,89
Total participants,Queensland,Male,75-79 years,52727
Eligible participants,Queensland,Male,75-79 years,59081
Participation rate (%),Queensland,Male,75-79 years,89.2
Total participants,South Australia,Male,75-79 years,21899
Eligible participants,South Australia,Male,75-79 years,24340
Participation rate (%),South Australia,Male,75-79 years,90
Total participants,Western Australia,Male,75-79 years,25424
Eligible participants,Western Australia,Male,75-79 years,28500
Participation rate (%),Western Australia,Male,75-79 years,89.2
Total participants,Tasmania,Male,75-79 years,7553
Eligible participants,Tasmania,Male,75-79 years,8407
Participation rate (%),Tasmania,Male,75-79 years,89.8
Total participants,Northern Territory,Male,75-79 years,1019
Eligible participants,Northern Territory,Male,75-79 years,1331
Participation rate (%),Northern Territory,Male,75-79 years,76.6
Total participants,Australian Capital Territory,Male,75-79 years,3617
Eligible participants,Australian Capital Territory,Male,75-79 years,4008
Participation rate (%),Australian Capital Territory,Male,75-79 years,90.2
Total participants,Australia,Male,75-79 years,268885
Eligible participants,Australia,Male,75-79 years,300933
Participation rate (%),Australia,Male,75-79 years,89.4
Total participants,New South Wales,Male,80-84 years,58246
Eligible participants,New South Wales,Male,80-84 years,66137
Participation rate (%),New South Wales,Male,80-84 years,88.1
Total participants,Victoria,Male,80-84 years,43863
Eligible participants,Victoria,Male,80-84 years,50406
Participation rate (%),Victoria,Male,80-84 years,87
Total participants,Queensland,Male,80-84 years,31860
Eligible participants,Queensland,Male,80-84 years,36195
Participation rate (%),Queensland,Male,80-84 years,88
Total participants,South Australia,Male,80-84 years,14885
Eligible participants,South Australia,Male,80-84 years,16799
Participation rate (%),South Australia,Male,80-84 years,88.6
Total participants,Western Australia,Male,80-84 years,15978
Eligible participants,Western Australia,Male,80-84 years,18066
Participation rate (%),Western Australia,Male,80-84 years,88.4
Total participants,Tasmania,Male,80-84 years,4620
Eligible participants,Tasmania,Male,80-84 years,5164
Participation rate (%),Tasmania,Male,80-84 years,89.5
Total participants,Northern Territory,Male,80-84 years,387
Eligible participants,Northern Territory,Male,80-84 years,536
Participation rate (%),Northern Territory,Male,80-84 years,72.2
Total participants,Australian Capital Territory,Male,80-84 years,2259
Eligible participants,Australian Capital Territory,Male,80-84 years,2545
Participation rate (%),Australian Capital Territory,Male,80-84 years,88.8
Total participants,Australia,Male,80-84 years,172098
Eligible participants,Australia,Male,80-84 years,195848
Participation rate (%),Australia,Male,80-84 years,87.9
Total participants,New South Wales,Male,85 years and over,48003
Eligible participants,New South Wales,Male,85 years and over,57894
Participation rate (%),New South Wales,Male,85 years and over,82.9
Total participants,Victoria,Male,85 years and over,35922
Eligible participants,Victoria,Male,85 years and over,43869
Participation rate (%),Victoria,Male,85 years and over,81.9
Total participants,Queensland,Male,85 years and over,24254
Eligible participants,Queensland,Male,85 years and over,29076
Participation rate (%),Queensland,Male,85 years and over,83.4
Total participants,South Australia,Male,85 years and over,12724
Eligible participants,South Australia,Male,85 years and over,15305
Participation rate (%),South Australia,Male,85 years and over,83.1
Total participants,Western Australia,Male,85 years and over,12269
Eligible participants,Western Australia,Male,85 years and over,14588
Participation rate (%),Western Australia,Male,85 years and over,84.1
Total participants,Tasmania,Male,85 years and over,3537
Eligible participants,Tasmania,Male,85 years and over,4197
Participation rate (%),Tasmania,Male,85 years and over,84.3
Total participants,Northern Territory,Male,85 years and over,248
Eligible participants,Northern Territory,Male,85 years and over,353
Participation rate (%),Northern Territory,Male,85 years and over,70.3
Total participants,Australian Capital Territory,Male,85 years and over,1859
Eligible participants,Australian Capital Territory,Male,85 years and over,2238
Participation rate (%),Australian Capital Territory,Male,85 years and over,83.1
Total participants,Australia,Male,85 years and over,138816
Eligible participants,Australia,Male,85 years and over,167520
Participation rate (%),Australia,Male,85 years and over,82.9
Total participants,New South Wales,Male,Total Males(a),1947546
Eligible participants,New South Wales,Male,Total Males(a),2514194
Participation rate (%),New South Wales,Male,Total Males(a),77.5
Total participants,Victoria,Male,Total Males(a),1554205
Eligible participants,Victoria,Male,Total Males(a),1952528
Participation rate (%),Victoria,Male,Total Males(a),79.6
Total participants,Queensland,Male,Total Males(a),1149465
Eligible participants,Queensland,Male,Total Males(a),1520897
Participation rate (%),Queensland,Male,Total Males(a),75.6
Total participants,South Australia,Male,Total Males(a),443903
Eligible participants,South Australia,Male,Total Males(a),574467
Participation rate (%),South Australia,Male,Total Males(a),77.3
Total participants,Western Australia,Male,Total Males(a),594054
Eligible participants,Western Australia,Male,Total Males(a),783698
Participation rate (%),Western Australia,Male,Total Males(a),75.8
Total participants,Tasmania,Male,Total Males(a),141006
Eligible participants,Tasmania,Male,Total Males(a),181947
Participation rate (%),Tasmania,Male,Total Males(a),77.5
Total participants,Northern Territory,Male,Total Males(a),38997
Eligible participants,Northern Territory,Male,Total Males(a),69648
Participation rate (%),Northern Territory,Male,Total Males(a),56
Total participants,Australian Capital Territory,Male,Total Males(a),110992
Eligible participants,Australian Capital Territory,Male,Total Males(a),138587
Participation rate (%),Australian Capital Territory,Male,Total Males(a),80.1
Total participants,Australia,Male,Total Males(a),5980168
Eligible participants,Australia,Male,Total Males(a),7735966
Participation rate (%),Australia,Male,Total Males(a),77.3
